p,J_0,J_1,J_2,J_3,J_4,J_5
0.1,1.5,1.5,1.5,1.5,1.5,1.5
0.10250000000000001,1.5375,1.5375,1.5375,1.5375,1.5375,1.5375
0.105,1.575,1.575,1.575,1.575,1.575,1.575
0.1075,1.6125,1.6125,1.6125,1.6125,1.6125,1.6125
0.11,1.65,1.65,1.65,1.65,1.65,1.65
0.1125,1.6875,1.6875,1.6875,1.6875,1.6875,1.6875
0.115,1.725,1.725,1.725,1.725,1.725,1.725
0.11750000000000001,1.7625000000000002,1.7625000000000002,1.7625000000000002,1.7625000000000002,1.7625000000000002,1.7625000000000002
0.12,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998
0.1225,1.8375,1.8375,1.8375,1.8375,1.8375,1.8375
0.125,1.875,1.875,1.875,1.875,1.875,1.875
0.1275,1.9125,1.9125,1.9125,1.9125,1.9125,1.9125
0.13,1.9500000000000002,1.9500000000000002,1.9500000000000002,1.9500000000000002,1.9500000000000002,1.9500000000000002
0.1325,1.9875,1.9875,1.9875,1.9875,1.9875,1.9875
0.135,2.0250000000000004,2.0250000000000004,2.0250000000000004,2.0250000000000004,2.0250000000000004,2.0250000000000004
0.1375,2.0625,2.0625,2.0625,2.0625,2.0625,2.0625
0.14,2.1,2.1,2.1,2.1,2.1,2.1
0.14250000000000002,2.1375,2.1375,2.1375,2.1375,2.1375,2.1375
0.145,2.175,2.175,2.175,2.175,2.175,2.175
0.1475,2.2125,2.2125,2.2125,2.2125,2.2125,2.2125
0.15,2.25,2.25,2.25,2.25,2.25,2.25
0.1525,2.2875,2.2875,2.2875,2.2875,2.2875,2.2875
0.155,2.325,2.325,2.325,2.325,2.325,2.325
0.1575,2.3625,2.3625,2.3625,2.3625,2.3625,2.3625
0.16,2.4,2.4,2.4,2.4,2.4,2.4
0.1625,2.4375,2.4375,2.4375,2.4375,2.4375,2.4375
0.165,2.475,2.475,2.475,2.475,2.475,2.475
0.1675,2.5125,2.5125,2.5125,2.5125,2.5125,2.5125
0.17,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5500000000000003
0.17250000000000001,2.5875000000000004,2.5875000000000004,2.5875000000000004,2.5875000000000004,2.5875000000000004,2.5875000000000004
0.17500000000000002,2.6250000000000004,2.6250000000000004,2.6250000000000004,2.6250000000000004,2.6250000000000004,2.6250000000000004
0.1775,2.6624999999999996,2.6624999999999996,2.6624999999999996,2.6624999999999996,2.6624999999999996,2.6624999999999996
0.18,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997
0.1825,2.7375,2.7375,2.7375,2.7375,2.7375,2.7375
0.185,2.775,2.775,2.775,2.775,2.775,2.775
0.1875,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125
0.19,2.85,2.85,2.85,2.85,2.85,2.85
0.1925,2.8875,2.8875,2.8875,2.8875,2.8875,2.8875
0.195,2.9250000000000003,2.9250000000000003,2.9250000000000003,2.9250000000000003,2.9250000000000003,2.9250000000000003
0.1975,2.9625000000000004,2.9625000000000004,2.9625000000000004,2.9625000000000004,2.9625000000000004,2.9625000000000004
0.2,3.0,3.0,3.0,3.0,3.0,3.0
0.2025,3.0375,3.0375,3.0375,3.0375,3.0375,3.0375
0.20500000000000002,3.075,3.075,3.075,3.075,3.075,3.075
0.20750000000000002,3.1125000000000003,3.1125000000000003,3.1125000000000003,3.1125000000000003,3.1125000000000003,3.1125000000000003
