baseline_target_stock,average_discounted_cost,improvement_vs_optimal
1,927.6810733193091,6.812094423918799
2,883.063818194652,2.1037274045104875
3,867.2412401503395,0.317636820164088
4,870.8138226225368,0.726591586650207
5,910.0846959740236,5.0103175587682545
6,978.1357930279956,11.618962437127422
7,1063.2785373063782,18.696133485211405
8,1187.6937763225112,27.213008951793295
9,1327.5184903445409,34.87950872702287
10,1503.1498606205196,42.48833164944025
