iteration,max_value_diff,converged
0,10.0,False
100,3.161493963589237,False
200,1.1572090374138497,False
300,0.42357593330712007,False
400,0.1550424905753971,False
500,0.05675056582231264,False
600,0.020772542476720446,False
700,0.007603422356964984,False
800,0.002783098487270763,False
900,0.0010187040554683335,False
1000,0.0003728786305146059,False
1100,0.0001364856383361257,False
1200,4.9958157887886046e-05,False
1300,1.8286301610714872e-05,False
1400,6.693377940791834e-06,False
1500,2.449992848596594e-06,False
