baseline_target_stock,average_cost,improvement_vs_optimal
1,46.45069,6.154547973345508
2,44.3923,1.8031054935202766
3,43.76885,0.4043743438541417
4,44.53126,2.1095293508425454
5,46.79116,6.837402620494985
6,50.53782,13.744083144069148
7,55.73108,21.781777780010728
8,62.36811,30.10552989340226
9,70.46217,38.13437763838384
10,79.98202,45.49792565879182
