k,x,u,cost
2,7,8,47.2854996243426
2,7,9,52.22163786626596
2,7,10,57.50338091660406
2,8,0,22.42148760330579
2,8,1,24.486100676183323
2,8,2,27.070623591284747
2,8,3,30.22464312546958
2,8,4,33.700225394440274
2,8,5,37.5221637866266
2,8,6,41.7145003756574
2,8,7,46.2854996243426
2,8,8,51.22163786626596
2,8,9,56.50338091660406
2,8,10,62.10518407212623
2,9,0,23.486100676183323
2,9,1,26.070623591284747
2,9,2,29.22464312546958
2,9,3,32.700225394440274
2,9,4,36.5221637866266
2,9,5,40.7145003756574
2,9,6,45.2854996243426
2,9,7,50.22163786626596
2,9,8,55.50338091660406
2,9,9,61.10518407212623
2,9,10,66.9954921111946
2,10,0,25.070623591284747
2,10,1,28.224643125469573
2,10,2,31.700225394440277
2,10,3,35.5221637866266
2,10,4,39.7145003756574
2,10,5,44.2854996243426
2,10,6,49.22163786626596
2,10,7,54.50338091660406
2,10,8,60.10518407212623
2,10,9,65.9954921111946
2,10,10,72.1367392937641
1,0,0,36.37190082644628
1,0,1,35.64462809917355
1,0,2,35.1900826446281
1,0,3,35.00826446280991
1,0,4,35.10859913940305
1,0,5,35.51990984222389
1,0,6,36.27416160098354
1,0,7,37.4067345126699
1,0,8,38.95669694692985
1,0,9,40.9670787514514
1,0,10,43.48514445734581
1,1,0,34.64462809917355
1,1,1,34.1900826446281
1,1,2,34.00826446280992
1,1,3,34.10859913940305
1,1,4,34.51990984222389
1,1,5,35.27416160098354
1,1,6,36.4067345126699
1,1,7,37.95669694692985
1,1,8,39.9670787514514
1,1,9,42.48514445734581
1,1,10,45.56266648452975
1,2,0,33.1900826446281
1,2,1,33.00826446280992
1,2,2,33.10859913940305
1,2,3,33.51990984222389
1,2,4,34.27416160098354
1,2,5,35.4067345126699
1,2,6,36.95669694692985
1,2,7,38.9670787514514
1,2,8,41.48514445734581
1,2,9,44.56266648452975
1,2,10,47.956150536165566
1,3,0,32.00826446280992
1,3,1,32.10859913940305
1,3,2,32.51990984222389
1,3,3,33.27416160098354
1,3,4,34.4067345126699
1,3,5,35.95669694692985
1,3,6,37.9670787514514
1,3,7,40.48514445734581
1,3,8,43.56266648452975
1,3,9,46.956150536165566
1,3,10,50.69708353254559
1,4,0,31.108599139403044
1,4,1,31.51990984222389
1,4,2,32.27416160098354
1,4,3,33.4067345126699
1,4,4,34.95669694692985
1,4,5,36.9670787514514
1,4,6,39.48514445734581
1,4,7,42.56266648452975
1,4,8,45.956150536165566
1,4,9,49.69708353254559
1,4,10,53.819138037019336
1,5,0,30.51990984222389
1,5,1,31.27416160098354
1,5,2,32.4067345126699
1,5,3,33.95669694692986
1,5,4,35.9670787514514
1,5,5,38.48514445734581
1,5,6,41.56266648452975
1,5,7,44.956150536165566
1,5,8,48.69708353254559
1,5,9,52.819138037019336
1,5,10,57.34731234205315
1,6,0,30.27416160098354
1,6,1,31.4067345126699
1,6,2,32.95669694692986
1,6,3,34.9670787514514
1,6,4,37.48514445734581
1,6,5,40.56266648452975
1,6,6,43.956150536165566
1,6,7,47.69708353254559
1,6,8,51.819138037019336
1,6,9,56.34731234205315
1,6,10,61.285977733761364
1,7,0,30.4067345126699
1,7,1,31.956696946929856
1,7,2,33.9670787514514
1,7,3,36.48514445734581
1,7,4,39.56266648452975
1,7,5,42.956150536165566
1,7,6,46.69708353254559
1,7,7,50.819138037019336
1,7,8,55.34731234205315
1,7,9,60.285977733761364
1,7,10,65.63458780137968
1,8,0,30.956696946929856
1,8,1,32.9670787514514
1,8,2,35.48514445734581
1,8,3,38.56266648452975
1,8,4,41.956150536165566
1,8,5,45.6970835325456
1,8,6,49.819138037019336
1,8,7,54.34731234205315
1,8,8,59.285977733761364
1,8,9,64.63458780137968
1,8,10,70.38685882111878
1,9,0,31.967078751451403
1,9,1,34.48514445734581
1,9,2,37.56266648452975
1,9,3,40.956150536165566
1,9,4,44.6970835325456
1,9,5,48.819138037019336
1,9,6,53.347312342053144
1,9,7,58.285977733761364
1,9,8,63.63458780137969
1,9,9,69.38685882111878
1,9,10,75.52995014001777
1,10,0,33.48514445734581
1,10,1,36.56266648452975
1,10,2,39.956150536165566
1,10,3,43.6970835325456
1,10,4,47.819138037019336
1,10,5,52.347312342053144
1,10,6,57.285977733761364
1,10,7,62.63458780137969
1,10,8,68.38685882111878
1,10,9,74.52995014001777
1,10,10,81.04364455979783
0,0,0,45.00826446280991
0,0,1,44.280991735537185
0,0,2,43.826446280991725
0,0,3,43.644628099173545
0,0,4,43.744658524318375
0,0,5,44.1548081042651
0,0,6,44.90625329864452
0,0,7,46.03338693954088
0,0,8,47.57415352900634
0,0,9,49.57040937342829
0,0,10,52.06830755474974
0,1,0,43.280991735537185
0,1,1,42.826446280991725
0,1,2,42.644628099173545
0,1,3,42.744658524318375
0,1,4,43.1548081042651
0,1,5,43.90625329864452
0,1,6,45.03338693954088
0,1,7,46.57415352900634
0,1,8,48.57040937342829
0,1,9,51.06830755474974
0,1,10,54.118707738542454
0,2,0,41.826446280991725
0,2,1,41.644628099173545
0,2,2,41.744658524318375
0,2,3,42.1548081042651
0,2,4,42.90625329864452
0,2,5,44.03338693954088
0,2,6,45.57415352900633
0,2,7,47.57040937342829
0,2,8,50.06830755474974
0,2,9,53.118707738542454
0,2,10,56.47760647248389
0,3,0,40.644628099173545
0,3,1,40.744658524318375
0,3,2,41.1548081042651
0,3,3,41.90625329864452
0,3,4,43.03338693954088
0,3,5,44.57415352900633
0,3,6,46.57040937342829
0,3,7,49.06830755474974
0,3,8,52.118707738542454
0,3,9,55.47760647248389
0,3,10,59.176590024278035
0,4,0,39.744658524318375
0,4,1,40.1548081042651
0,4,2,40.90625329864452
0,4,3,42.03338693954088
0,4,4,43.57415352900633
0,4,5,45.570409373428284
0,4,6,48.06830755474974
0,4,7,51.118707738542454
0,4,8,54.47760647248388
0,4,9,58.176590024278035
0,4,10,62.25030580375162
0,5,0,39.1548081042651
0,5,1,39.90625329864452
0,5,2,41.03338693954088
0,5,3,42.57415352900633
0,5,4,44.570409373428284
0,5,5,47.06830755474974
0,5,6,50.118707738542454
0,5,7,53.47760647248388
0,5,8,57.176590024278035
0,5,9,61.25030580375162
0,5,10,65.726552458538
0,6,0,38.90625329864452
0,6,1,40.03338693954088
0,6,2,41.57415352900633
0,6,3,43.570409373428284
0,6,4,46.06830755474974
0,6,5,49.118707738542454
0,6,6,52.47760647248388
0,6,7,56.176590024278035
0,6,8,60.25030580375162
0,6,9,64.726552458538
0,6,10,69.6143768123141
0,7,0,39.03338693954088
0,7,1,40.57415352900633
0,7,2,42.570409373428284
0,7,3,45.06830755474974
0,7,4,48.118707738542454
0,7,5,51.47760647248388
0,7,6,55.176590024278035
0,7,7,59.25030580375162
0,7,8,63.72655245853799
0,7,9,68.6143768123141
0,7,10,73.91987010325921
0,8,0,39.57415352900633
0,8,1,41.570409373428284
0,8,2,44.06830755474974
0,8,3,47.118707738542454
0,8,4,50.47760647248388
0,8,5,54.176590024278035
0,8,6,58.25030580375162
0,8,7,62.72655245853799
0,8,8,67.6143768123141
0,8,9,72.91987010325921
0,8,10,78.64533594948183
0,9,0,40.570409373428284
0,9,1,43.06830755474974
0,9,2,46.11870773854245
0,9,3,49.47760647248387
0,9,4,53.176590024278035
0,9,5,57.25030580375162
0,9,6,61.72655245853799
0,9,7,66.6143768123141
0,9,8,71.91987010325921
0,9,9,77.64533594948183
0,9,10,83.78835896703528
0,10,0,42.06830755474974
0,10,1,45.11870773854245
0,10,2,48.47760647248387
0,10,3,52.176590024278035
0,10,4,56.25030580375162
0,10,5,60.72655245853799
0,10,6,65.6143768123141
0,10,7,70.91987010325921
0,10,8,76.64533594948183
0,10,9,82.78835896703528
0,10,10,89.34077404052131
