p,J_star,stop_cost,continue_cost
0.0,6.4481730010504785,25.0,6.487640092703522
0.005,6.470673542485221,24.875,6.509914856596244
0.01,6.491328664945644,24.75,6.530349314247731
0.015,6.5103665971938804,24.625,6.54917197685205
0.02,6.528105461859802,24.5,6.566699620710774
0.025,6.545682532166411,24.375,6.584055699191203
0.03,6.562877240699457,24.25,6.601019270156859
0.035,6.578278296815938,24.125,6.616206383183738
0.04,6.593285140851325,24.0,6.630993868793965
0.045,6.607957584897591,23.875,6.6454396936000615
0.05,6.62079847713237,23.75,6.658078426392682
0.055,6.6341821835369315,23.625,6.671236793442026
0.06,6.646468791148633,23.5,6.683308336623882
0.065,6.659001148305605,23.375,6.695610491367541
0.07,6.66996819845566,23.25,6.706369760072813
0.075,6.6804965980865685,23.125,6.716683408467055
0.08,6.6906998973964225,23.0,6.726669283593983
0.085,6.700979420493075,22.875,6.736726401198346
0.09,6.7102532380827435,22.75,6.745785352496701
0.095,6.719390854381718,22.625,6.75470170588382
0.1,6.727561360043515,22.5,6.76265684817353
0.105,6.735729737415163,22.375,6.770601157081545
0.11,6.743801578820048,22.25,6.778457493553496
0.115,6.7513556069849745,22.125,6.785786749700446
0.12,6.758591844155317,22.0,6.792790721927699
0.125,6.765179766315399,21.875,6.799170217551706
0.13,6.770540448128712,21.75,6.804319911256249
0.135,6.7765762765734605,21.625,6.810139509847848
0.14,6.782437417515189,21.5,6.815762555284637
0.145,6.787055115724505,21.375,6.820182030555422
0.15,6.791835361555425,21.25,6.824747229514163
0.155,6.7964946812481655,21.125,6.8291741583750145
0.16,6.800016596601124,21.0,6.832486930544767
0.165,6.803812156497039,20.875,6.836066230401301
0.17,6.807564500926674,20.75,6.83958449951699
0.17500000000000002,6.810009991556237,20.625,6.841819582573696
0.18,6.813210228792114,20.5,6.844796492805799
0.185,6.815357605531485,20.375,6.846732161774678
0.19,6.817261656744401,20.25,6.848422865138762
0.195,6.819768925352708,20.125,6.850696876382844
0.2,6.820501788670657,20.0,6.851226176963205
0.20500000000000002,6.821763608456596,19.875,6.852255977343262
0.21,6.822388859319324,19.75,6.852671026868684
0.215,6.823203101564653,19.625,6.853251905071043
0.22,6.822994700768086,19.5,6.852832972855993
0.225,6.82281030130824,19.375,6.852423977850577
0.23,6.82246969318573,19.25,6.851872039231923
0.23500000000000001,6.821761674172341,19.125,6.850938374016969
0.24,6.820774858070997,19.0,6.849747303963563
0.245,6.81921038114662,18.875,6.8479624942562385
0.25,6.8178903939976365,18.75,6.84643091908656
0.255,6.816008606378195,18.625,6.8443202165615835
0.26,6.813575484168436,18.5,6.84167889554793
0.265,6.810977795951448,18.375,6.838857113223968
0.27,6.808294640071837,18.25,6.835971607850334
0.275,6.805029392544972,18.125,6.832476385548104
0.28,6.8016335224664095,18.0,6.828857461578767
0.28500000000000003,6.7979327299441366,17.875,6.824936224644022
0.29,6.793574035293482,17.75,6.8203538831707355
0.295,6.7899362545469595,17.625,6.816511612196549
0.3,6.785370008223642,17.5,6.811725408552911
0.305,6.780021953414914,17.375,6.80616710989003
0.31,6.775503514042873,17.25,6.8014222494159045
0.315,6.769434320012924,17.125,6.795128220983891
0.32,6.764214175076672,17.0,6.7896874101633236
0.325,6.757115575087574,16.875,6.7823776450054325
0.33,6.751452112264563,16.75,6.776503212907794
0.335,6.745020427118839,16.625,6.769850288633537
0.34,6.737483335268868,16.499999999999996,6.76208286416362
0.34500000000000003,6.731077046915641,16.375,6.755459203596598
0.35000000000000003,6.722780593681592,16.249999999999996,6.746955344983177
0.355,6.715380722752865,16.125,6.739338223764886
0.36,6.708306529174927,16.0,6.732047761246898
0.365,6.699271804744771,15.875,6.722798339776046
0.37,6.690666424556725,15.75,6.713970858255941
0.375,6.680540998834208,15.625,6.703624476578843
0.38,6.671619391116784,15.5,6.6944882847997444
0.385,6.662540886726779,15.375,6.6851830119675535
0.39,6.651285944619843,15.25,6.673719172724624
0.395,6.642134995388906,15.125,6.664348830266016
0.4,6.6317154901003015,15.0,6.65370929105412
0.405,6.621075933939773,14.875,6.642861410514682
0.41000000000000003,6.610006727551244,14.75,6.631565004940863
0.41500000000000004,6.5974268001880665,14.625,6.618767787213846
0.42,6.586781540570949,14.500000000000002,6.607909009763004
0.425,6.57413785747383,14.374999999999998,6.595029311089655
0.43,6.560074158860359,14.250000000000002,6.580759730739744
0.435,6.549003724527392,14.124999999999998,6.569476692362036
0.44,6.536293511296927,14.000000000000002,6.556545390795608
0.445,6.521671209937811,13.874999999999998,6.5417060103078875
0.45,6.508823834758673,13.750000000000002,6.528639942382545
0.455,6.494710193502948,13.624999999999998,6.5143109626440525
0.46,6.480596768849729,13.5,6.499988286099637
0.465,6.466176396637003,13.374999999999998,6.48533974156548
0.47000000000000003,6.449661632298266,13.25,6.468612888314293
0.47500000000000003,6.435205966174344,13.124999999999998,6.453936170094068
0.48,6.4195052064303155,13.0,6.438006919194633
0.485,6.402248718748615,12.875,6.420549154966623
0.49,6.386905281724576,12.75,6.404986307488423
0.495,6.370015478931381,12.625,6.3878698065461075
0.5,6.350509708112229,12.5,6.368154741802437
0.505,6.3349412460113665,12.375,6.352359785878846
0.51,6.317809512019062,12.25,6.335017201119476
0.515,6.298091783926198,12.125,6.315091376180568
0.52,6.279429668902868,12.0,6.2961939909868505
0.525,6.259611622215835,11.875,6.276161298608677
0.53,6.240885237730626,11.75,6.257236608176361
0.535,6.220768507414346,11.625,6.236877923723173
0.54,6.199832324095553,11.5,6.21573596693955
0.545,6.181406476444526,11.374999999999998,6.1970920375125935
0.55,6.1588518211962375,11.249999999999998,6.1743001781801965
0.555,6.134451598762755,11.124999999999998,6.1497052286848435
0.56,6.116345088898745,10.999999999999998,6.13137288316109
0.5650000000000001,6.093509266735394,10.874999999999998,6.10832563231445
0.5700000000000001,6.0692801695252925,10.749999999999998,6.083891096909683
0.5750000000000001,6.047404212032237,10.624999999999998,6.0617764125757105
0.58,6.022461460231744,10.500000000000002,6.0366278235359525
0.585,5.999105524424904,10.375,6.0130752684516295
0.59,5.975054181706997,10.25,5.988784069527221
0.595,5.948106043213148,10.125,5.961633544983811
0.6,5.9247647865448645,10.0,5.938061972978705
0.605,5.8986353241265395,9.875,5.911722321123239
0.61,5.870191599828627,9.75,5.88307636503753
0.615,5.8449214761603425,9.625,5.857563094132129
0.62,5.815756550137891,9.5,5.8281941289746335
0.625,5.78815565411004,9.375,5.800362198909532
0.63,5.760542963236854,9.25,5.7725395676894475
0.635,5.728009577881085,9.125,5.739810802788202
0.64,5.704426413235982,9.0,5.715991132711211
0.645,5.6733465192566825,8.875,5.6847149292766375
0.65,5.644048275054828,8.75,5.655231951783908
0.655,5.609066353406329,8.625,5.619986862307761
0.66,5.575784645769948,8.5,5.586514045053264
0.665,5.548460867409715,8.375,5.558957821024714
0.67,5.51414735905889,8.249999999999998,5.524445994288608
0.675,5.482187831899762,8.124999999999998,5.49230566311932
0.68,5.4449282703268045,7.999999999999999,5.4547787321169805
0.685,5.406230882153016,7.874999999999998,5.415899616818445
0.6900000000000001,5.378519988830847,7.749999999999998,5.387945929224119
0.6950000000000001,5.3374325118667825,7.624999999999998,5.3466662560908516
0.7000000000000001,5.305432220200549,7.499999999999998,5.314443196988384
0.705,5.264746050302688,7.375000000000001,5.2735585891523
0.71,5.228470732902811,7.250000000000001,5.237100865670439
0.715,5.187503342534491,7.125000000000001,5.195881229497565
0.72,5.144356679673983,7.000000000000001,5.15254992107506
0.725,5.11017091852722,6.875000000000001,5.118119259077351
0.73,5.062606786644498,6.75,5.070372807885999
0.735,5.030352080544914,6.625,5.037883355290269
0.74,4.97936476289336,6.5,4.986710796110652
0.745,4.942094242623525,6.375,4.9492140283825785
0.75,4.893869452345495,6.25,4.900805317006089
0.755,4.855166368073135,6.125,4.861882879537646
0.76,4.804737249225179,6.0,4.811270193070426
0.765,4.761834743305245,5.875,4.768141473258604
0.77,4.710337230826291,5.75,4.716464851201833
0.775,4.666420350798574,5.624999999999999,4.67232108207526
0.78,4.608235846175958,5.499999999999999,4.613956056788853
0.785,4.565450507626567,5.374999999999999,4.570942638319937
0.79,4.505527032523637,5.249999999999999,4.510844666690848
0.795,4.462257327655627,5.124999999999999,4.467354067802692
